battery,Year,Car_Brand,Name,mileage_in_km,price_in_usd,AGM,battery_price
70Ah,2019,Volkswagen,Jetta,58000,14300,Y,70000
70Ah,2014,Volkswagen,Jetta,138000,16300,,32000
70Ah,2020,Volkswagen,Jetta,8274,5625,Y,70000
70Ah,2017,Volkswagen,Jetta,21800,12300,Y,70000
70Ah,2018,Volkswagen,Jetta,71380,9500,Y,70000
70Ah,2017,Volkswagen,Jetta,64374,11500,Y,70000
70Ah,2021,Volkswagen,Jetta,82077,7250,Y,70000
70Ah,2019,Volkswagen,Jetta,57936,4375,Y,70000
70Ah,2020,Volkswagen,Jetta,128748,5750,Y,70000
70Ah,2019,Volkswagen,Jetta,84000,4000,Y,70000
70Ah,2010,Volkswagen,Jetta,210824,7950,,32000
70Ah,2022,Volkswagen,Jetta,37015,10625,Y,70000
70Ah,2023,Volkswagen,Jetta,6214,9375,Y,70000
70Ah,2019,Volkswagen,Jetta,13954,5125,Y,70000
70Ah,2018,Hyundai,Kona,49729,14900,,32000
70Ah,2021,Hyundai,Kona,61155,6500,,32000
70Ah,2022,Hyundai,Kona,22531,7750,,32000
70Ah,2020,Hyundai,Kona,78053,16800,,32000
70Ah,2018,Hyundai,Kona,129000,15700,,32000
70Ah,2018,Hyundai,Kona,54718,18000,,32000
70Ah,2020,Hyundai,Kona,35406,18800,,32000
70Ah,2018,Hyundai,Kona,70006,15300,,32000
70Ah,2019,Hyundai,Kona,35245,27500,,32000
70Ah,2018,Hyundai,Kona,47664,13750,,32000
70Ah,2018,Hyundai,Kona,46671,5000,,32000
70Ah,2020,Hyundai,Kona,18951,4625,,32000
70Ah,2023,Hyundai,Kona,45062,8125,,32000
70Ah,2020,Hyundai,Kona,43452,6250,,32000
70Ah,2019,Hyundai,Kona,73225,15375,,32000
70Ah,2021,Hyundai,Kona,16925,7875,,32000
70Ah,2018,Hyundai,Kona,23655,4937.5,,32000
70Ah,2019,Hyundai,Kona,23554,5500,,32000
70Ah,2018,Hyundai,Kona,24552,4875,,32000
70Ah,2022,Hyundai,Kona,4910,8625,,32000
70Ah,2018,Hyundai,Kona,25000,5000,,32000
70Ah,2021,Hyundai,Kona,72153,7375,,32000
70Ah,2021,Hyundai,Kona,53432,7125,,32000
70Ah,2018,Hyundai,Kona,35343,7125,,32000
70Ah,2019,Hyundai,Kona,49890,18700,,32000
70Ah,2018,Hyundai,Kona,18245,4750,,32000
70Ah,2022,Hyundai,Kona,5281,9000,,32000
70Ah,2022,Hyundai,Kona,5384,8875,,32000
70Ah,2018,Hyundai,Kona,27359,18700,,32000
70Ah,2021,Hyundai,Kona,6112,7625,,32000
70Ah,2021,Hyundai,Kona,5331,7250,,32000
70Ah,2019,Hyundai,Kona,8364,5625,,32000
70Ah,2019,Hyundai,Kona,94951,18000,,32000
70Ah,2023,Hyundai,Kona,169,8750,,32000
70Ah,2021,Hyundai,Kona,27359,6875,,32000
70Ah,2021,Hyundai,Kona,64374,6875,,32000
70Ah,2018,Hyundai,Kona,77619,16500,,32000
70Ah,2018,Hyundai,Kona,60000,16700,,32000
70Ah,2023,Hyundai,Kona,929,24500,,32000
70Ah,2020,Hyundai,Kona,48280,4500,,32000
70Ah,2022,Hyundai,Kona,15498,7750,,32000
70Ah,2021,Hyundai,Kona,16947,5875,,32000
70Ah,2021,Hyundai,Kona,37015,4375,,32000
70Ah,2020,Hyundai,Kona,18732,5125,,32000
70Ah,2019,Hyundai,Kona,29194,16125,,32000
70Ah,2022,Hyundai,Kona,8500,,,32000
70Ah,2019,Hyundai,Kona,48000,17500,,32000
70Ah,2022,Hyundai,Kona,54718,8000,,32000
70Ah,2018,Hyundai,Kona,67790,14375,,32000
70Ah,2019,Hyundai,Kona,22605,15625,,32000
70Ah,2019,Hyundai,Kona,106120,14500,,32000
70Ah,2019,Hyundai,Kona,48842,1500,,32000
70Ah,2018,Hyundai,Kona,123919,18000,,32000
70Ah,2019,Hyundai,Kona,45062,19500,,32000
70Ah,2019,Hyundai,Kona,45866,19500,,32000
70Ah,2018,Hyundai,Kona,14831,5250,,32000
70Ah,2022,Hyundai,Kona,4998,9125,,32000
70Ah,2022,Hyundai,Kona,5633,8875,,32000
70Ah,2023,BMW,M3,11000,172500,Y,70000
70Ah,2023,BMW,M3,4600,168750,Y,70000
70Ah,2023,BMW,M3,11000,186250,Y,70000
70Ah,2023,BMW,M3,11000,167500,Y,70000
70Ah,2023,BMW,M3,2000,173750,Y,70000
70Ah,2023,BMW,M3,100,,Y,70000
70Ah,2023,BMW,M3,10,,Y,70000
70Ah,2023,BMW,M3,800,,Y,70000
70Ah,2023,BMW,M3,10,,Y,70000
70Ah,2023,BMW,M3,10,,Y,70000
70Ah,2023,BMW,M3,10,,Y,70000
70Ah,2000,BMW,M3,200000,,Y,70000
70Ah,2001,BMW,M3,220000,5000,Y,70000
70Ah,2018,BMW,M4,74030,8125,Y,70000
70Ah,2021,BMW,M4,15000,119000,Y,70000
70Ah,2023,BMW,M4,4200,155000,Y,70000
70Ah,2023,BMW,M4,2300,153750,Y,70000
70Ah,2023,BMW,M4,7800,170000,Y,70000
70Ah,2023,BMW,M4,1000,165000,Y,70000
70Ah,2023,BMW,M4,18000,145000,Y,70000
70Ah,2023,BMW,M4,7000,160000,Y,70000
70Ah,2023,BMW,M4,5700,158750,Y,70000
70Ah,2023,BMW,M4,5000,157500,Y,70000
70Ah,2019,BMW,M4,15444,93750,Y,70000
70Ah,2019,BMW,M4,9350,83750,Y,70000
70Ah,2018,BMW,M4,29700,82500,Y,70000
70Ah,2019,BMW,M4,29223,81250,Y,70000
70Ah,2023,BMW,M4,1900,137500,Y,70000
70Ah,2023,BMW,M4,100,137500,Y,70000
70Ah,2023,BMW,M4,10,137500,Y,70000
70Ah,2022,BMW,M4,24920,137500,Y,70000
70Ah,2022,BMW,M4,6110,137500,Y,70000
70Ah,2022,BMW,M4,14488,168750,Y,70000
70Ah,2022,BMW,M4,24460,168750,Y,70000
70Ah,2023,BMW,M4,7700,137500,Y,70000
70Ah,2019,BMW,M4,12950,,Y,70000
70Ah,2019,BMW,M4,22350,90000,Y,70000
70Ah,2023,BMW,M4,10,137500,Y,70000
70Ah,2020,Chevrolet,Malibu,64000,13800,,32000
70Ah,2016,Chevrolet,Malibu,70811,,,32000
70Ah,2021,Chevrolet,Malibu,36210,5750,,32000
70Ah,2017,Chevrolet,Malibu,165172,14625,,32000
70Ah,2019,Chevrolet,Malibu,155870,20000,,32000
70Ah,2017,Chevrolet,Malibu,76000,,,32000
70Ah,2018,Chevrolet,Malibu,43000,14500,,32000
70Ah,2016,Chevrolet,Malibu,120000,13500,,32000
70Ah,2019,Chevrolet,Malibu,24140,4375,,32000
70Ah,2020,Chevrolet,Malibu,144841,6250,,32000
70Ah,2019,Chevrolet,Malibu,144841,4375,,32000
70Ah,2018,Chevrolet,Malibu,111000,15400,,32000
70Ah,2018,Chevrolet,Malibu,70811,12900,,32000
70Ah,2020,Chevrolet,Malibu,84000,16300,,32000
70Ah,2016,Chevrolet,Malibu,101389,13900,,32000
70Ah,2020,Chevrolet,Malibu,115873,6250,,32000
70Ah,2020,Chevrolet,Malibu,64374,5625,,32000
70Ah,2020,Chevrolet,Malibu,126596,10625,,32000
70Ah,2022,Chevrolet,Malibu,59546,11250,,32000
70Ah,2021,Chevrolet,Malibu,112654,5875,,32000
70Ah,2019,Chevrolet,Malibu,75639,,,32000
70Ah,2022,Chevrolet,Malibu,3009,10875,,32000
70Ah,2018,Chevrolet,Malibu,10000,4112.5,,32000
70Ah,2018,Chevrolet,Malibu,18965,4375,,32000
70Ah,2019,Chevrolet,Malibu,24520,5500,,32000
70Ah,2018,Chevrolet,Malibu,24500,4375,,32000
70Ah,2018,Chevrolet,Malibu,25000,4625,,32000
70Ah,2020,Chevrolet,Malibu,19620,6375,,32000
70Ah,2019,Chevrolet,Malibu,23900,5375,,32000
70Ah,2020,Chevrolet,Malibu,20050,6375,,32000
70Ah,2017,Chevrolet,Malibu,24630,4000,,32000
70Ah,2017,Chevrolet,Malibu,24630,4000,,32000
70Ah,2017,Chevrolet,Malibu,22193,4000,,32000
70Ah,2017,Chevrolet,Malibu,13251,3875,,32000
70Ah,2018,Chevrolet,Malibu,11736,4375,,32000
70Ah,2017,Chevrolet,Malibu,12934,3875,,32000
70Ah,2017,Chevrolet,Malibu,12334,3500,,32000
70Ah,2018,Chevrolet,Malibu,8144,4750,,32000
70Ah,2019,Chevrolet,Malibu,7336,4875,,32000
70Ah,2021,Chevrolet,Malibu,5133,8125,,32000
70Ah,2019,Chevrolet,Malibu,6347,4875,,32000
70Ah,2018,Chevrolet,Malibu,10735,4125,,32000
70Ah,2018,Chevrolet,Malibu,7399,4375,,32000
70Ah,2022,Chevrolet,Malibu,5328,9875,,32000
70Ah,2017,Chevrolet,Malibu,12847,3875,,32000
70Ah,2022,Chevrolet,Malibu,5297,10500,,32000
70Ah,2018,Chevrolet,Malibu,154497,13900,,32000
70Ah,2018,Chevrolet,Malibu,112654,12500,,32000
70Ah,2016,Chevrolet,Malibu,135000,,,32000
70Ah,2019,Chevrolet,Malibu,51000,4375,,32000
70Ah,2020,Chevrolet,Malibu,72000,5000,,32000
70Ah,2017,Chevrolet,Malibu,160934,12000,,32000
70Ah,2017,Chevrolet,Malibu,169000,12000,,32000
70Ah,2018,Chevrolet,Malibu,19345,3125,,32000
70Ah,2017,Chevrolet,Malibu,112000,,,32000
70Ah,2019,Chevrolet,Malibu,32599,12500,,32000
70Ah,2018,Chevrolet,Malibu,38413,10000,,32000
70Ah,2018,Chevrolet,Malibu,79830,,,32000
70Ah,2017,Chevrolet,Malibu,92137,10625,,32000
70Ah,2020,Chevrolet,Malibu,96561,4625,,32000
70Ah,2021,Chevrolet,Malibu,38624,5625,,32000
70Ah,2020,Chevrolet,Malibu,64374,5000,,32000
70Ah,2022,Chevrolet,Malibu,41843,11250,,32000
70Ah,2017,Chevrolet,Malibu,186684,12200,,32000
70Ah,2022,Chevrolet,Malibu,5287,10250,,32000
70Ah,2019,Chevrolet,Malibu,13947,5125,,32000
70Ah,2017,Chevrolet,Malibu,16348,3625,,32000
70Ah,2020,Chevrolet,Malibu,8954,6875,,32000
70Ah,2019,Chevrolet,Malibu,6958,4750,,32000
70Ah,2017,Chevrolet,Malibu,17212,3625,,32000
70Ah,2021,Chevrolet,Malibu,7331,8500,,32000
70Ah,2018,Chevrolet,Malibu,17295,4375,,32000
70Ah,2022,Chevrolet,Malibu,4932,10625,,32000
70Ah,2020,Chevrolet,Malibu,3149,6875,,32000
70Ah,2019,Honda,Odyssey,70000,9000,,32000
70Ah,2021,Honda,Odyssey,43000,38500,,32000
70Ah,2015,Honda,Odyssey,82000,18700,,32000
70Ah,2021,Honda,Odyssey,98170,12125,,32000
70Ah,2021,Honda,Odyssey,16,22875,,32000
70Ah,2020,Honda,Odyssey,53108,11250,,32000
70Ah,2018,Volkswagen,Passat,120701,,Y,70000
70Ah,2022,Volkswagen,Passat,69202,10625,Y,70000
70Ah,2017,Volkswagen,Passat,123919,15000,Y,70000
70Ah,2020,Volkswagen,Passat,83000,23500,Y,70000
70Ah,2017,Volkswagen,Passat,99779,14700,Y,70000
70Ah,2016,Volkswagen,Passat,95000,14000,Y,70000
70Ah,2018,Volkswagen,Passat,130000,16900,Y,70000
70Ah,2019,Volkswagen,Passat,7196,5625,Y,70000
70Ah,2018,Volkswagen,Passat,8641,6375,Y,70000
70Ah,2018,Volkswagen,Passat,10934,6375,Y,70000
70Ah,2020,Volkswagen,Passat,6119,8125,Y,70000
70Ah,2020,Volkswagen,Passat,6174,8125,Y,70000
70Ah,2021,Volkswagen,Passat,6194,9375,Y,70000
70Ah,2017,Volkswagen,Passat,11097,5625,Y,70000
70Ah,2019,Volkswagen,Passat,7391,6875,Y,70000
70Ah,2019,Volkswagen,Passat,120492,,Y,70000
70Ah,2017,Volkswagen,Passat,1247,4375,Y,70000
70Ah,2017,Volkswagen,Passat,120000,15800,Y,70000
70Ah,2018,Volkswagen,Passat,79000,19700,Y,70000
70Ah,2017,Volkswagen,Passat,109435,17500,Y,70000
70Ah,2018,Volkswagen,Passat,77000,15300,Y,70000
70Ah,2018,Volkswagen,Passat,120701,5000,Y,70000
70Ah,2018,Volkswagen,Passat,16394,5625,Y,70000
70Ah,2020,Volkswagen,Passat,60000,22000,Y,70000
70Ah,2023,Honda,Passport,3219,16875,,32000
70Ah,2020,Honda,Passport,36000,25500,,32000
70Ah,2021,Honda,Passport,16,26875,,32000
70Ah,2023,Honda,Passport,4345,15000,,32000
70Ah,2021,Audi,Q3,19312,14125,Y,70000
70Ah,2022,Audi,Q3,12000,44500,Y,70000
70Ah,2022,Audi,Q3,10,,Y,70000
70Ah,2021,Audi,Q3,38900,,Y,70000
70Ah,2021,Audi,Q3,20206,,Y,70000
70Ah,2021,Audi,Q3,16821,16375,Y,70000
70Ah,2017,Audi,Q3,21835,9500,Y,70000
70Ah,2018,Audi,Q3,18345,10625,Y,70000
70Ah,2017,Audi,Q3,21867,9250,Y,70000
70Ah,2020,Audi,Q3,6164,,Y,70000
70Ah,2021,Audi,Q3,19740,,Y,70000
70Ah,2021,Audi,Q3,33800,,Y,70000
70Ah,2021,Audi,Q3,21700,,Y,70000
70Ah,2021,Audi,Q3,30600,,Y,70000
70Ah,2021,Audi,Q3,38900,,Y,70000
70Ah,2021,Audi,Q3,24050,,Y,70000
70Ah,2022,Audi,Q3,10,,Y,70000
70Ah,2021,Audi,Q3,37015,14375,Y,70000
70Ah,2020,Audi,Q3,28968,10625,Y,70000
70Ah,2023,Audi,Q3,10314,40000,Y,70000
70Ah,2016,Audi,Q5,37083,21875,Y,70000
70Ah,2019,Audi,Q5,17352,20125,Y,70000
70Ah,2021,Audi,Q5,16925,22625,Y,70000
70Ah,2021,Audi,Q5,31000,,Y,70000
70Ah,2021,Audi,Q5,14999,,Y,70000
70Ah,2021,Audi,Q5,900,,Y,70000
70Ah,2021,Audi,Q5,19000,,Y,70000
70Ah,2012,Audi,Q5,149000,11900,,32000
70Ah,2021,Audi,Q5,47500,,Y,70000
70Ah,2020,Audi,Q5,96000,44700,Y,70000
70Ah,2021,Audi,Q5,47000,49000,Y,70000
70Ah,2013,Audi,Q5,181000,22000,,32000
70Ah,2020,Audi,Q5,20579,48750,Y,70000
70Ah,2021,Infiniti,Q50,80000,,Y,70000
70Ah,2017,Infiniti,Q50,173809,8300,Y,70000
70Ah,2018,Infiniti,Q50,151000,23000,Y,70000
70Ah,2015,Infiniti,Q50,149025,13200,Y,70000
70Ah,2019,Infiniti,Q50,35406,25500,Y,70000
70Ah,2020,Infiniti,Q50,38624,8750,Y,70000
70Ah,2020,Infiniti,Q50,78858,22300,Y,70000
70Ah,2018,Infiniti,Q50,125529,26500,Y,70000
70Ah,2020,Infiniti,Q50,18364,11375,Y,70000
70Ah,2017,Infiniti,Q50,20247,8875,Y,70000
70Ah,2018,Infiniti,Q50,96561,22000,Y,70000
70Ah,2019,Infiniti,Q50,18345,11125,Y,70000
70Ah,2019,Infiniti,Q50,140000,19100,Y,70000
70Ah,2018,Infiniti,Q50,19354,9500,Y,70000
70Ah,2018,Infiniti,Q50,9247,8500,Y,70000
70Ah,2021,Infiniti,Q50,6274,9375,Y,70000
70Ah,2018,Infiniti,Q50,103319,7000,Y,70000
70Ah,2018,Infiniti,Q50,145000,26700,Y,70000
70Ah,2020,Infiniti,Q50,8364,9000,Y,70000
70Ah,2019,Infiniti,Q50,80000,7250,Y,70000
70Ah,2020,Infiniti,Q50,61237,23750,Y,70000
70Ah,2021,Infiniti,Q50,46211,27500,Y,70000
70Ah,2021,Infiniti,Q50,102061,26250,Y,70000
70Ah,2023,Infiniti,Q50,19788,50000,Y,70000
70Ah,2022,Infiniti,Q50,15775,37500,Y,70000
70Ah,2018,Infiniti,Q50,36685,30000,Y,70000
70Ah,2019,Infiniti,Q50,66000,7250,Y,70000
70Ah,2018,Infiniti,Q50,57936,6250,Y,70000
70Ah,2021,Infiniti,Q50,12070,10625,Y,70000
70Ah,2017,Infiniti,Q50,16321,5875,Y,70000
70Ah,2018,Infiniti,Q50,15347,7000,Y,70000
70Ah,2021,Audi,Q7,27000,90000,Y,70000
70Ah,2022,Audi,Q7,59546,33750,Y,70000
70Ah,2017,Audi,Q7,95000,39500,Y,70000
70Ah,2017,Audi,Q7,19358,15125,Y,70000
70Ah,2017,Audi,Q7,19932,15125,Y,70000
70Ah,2021,Audi,Q7,44285,,Y,70000
70Ah,2022,Audi,Q7,30,,Y,70000
70Ah,2022,Audi,Q7,30,,Y,70000
70Ah,2022,Audi,Q7,14100,,Y,70000
70Ah,2022,Audi,Q7,65000,,Y,70000
70Ah,2022,Audi,Q7,28975,,Y,70000
70Ah,2020,Audi,Q7,13410,,Y,70000
70Ah,2020,Audi,Q7,25000,,Y,70000
70Ah,2018,Audi,Q7,65000,48000,Y,70000
70Ah,2021,Audi,Q7,51000,105000,Y,70000
70Ah,2021,Audi,Q7,212433,20250,Y,70000
70Ah,2019,Audi,Q7,40000,15625,Y,70000
70Ah,2016,Infiniti,QX30,122000,,Y,70000
70Ah,2017,Infiniti,QX30,80467,11500,Y,70000
70Ah,2017,Infiniti,QX30,103200,18500,Y,70000
70Ah,2019,Infiniti,QX30,55835,20000,Y,70000
70Ah,2018,Infiniti,QX50,152000,26000,Y,70000
70Ah,2019,Infiniti,QX50,85000,30000,Y,70000
70Ah,2018,Infiniti,QX50,27533,27500,Y,70000
70Ah,2018,Infiniti,QX50,50000,31500,Y,70000
70Ah,2019,Infiniti,QX50,47000,30000,Y,70000
70Ah,2020,Infiniti,QX50,45,30000,Y,70000
70Ah,2019,Infiniti,QX50,30000,30990,Y,70000
70Ah,2022,Infiniti,QX50,10000,46000,Y,70000
70Ah,2019,Infiniti,QX50,90000,13125,Y,70000
70Ah,2019,Infiniti,QX50,128748,12500,Y,70000
70Ah,2017,Infiniti,QX50,21864,9000,Y,70000
70Ah,2019,Infiniti,QX50,22450,12000,Y,70000
70Ah,2021,Infiniti,QX50,15400,15625,Y,70000
70Ah,2019,Infiniti,QX50,21690,11875,Y,70000
70Ah,2019,Infiniti,QX50,18624,11875,Y,70000
70Ah,2020,Infiniti,QX50,17358,12250,Y,70000
70Ah,2019,Infiniti,QX50,17628,11625,Y,70000
70Ah,2017,Infiniti,QX50,21832,9000,Y,70000
70Ah,2017,Infiniti,QX50,21835,8875,Y,70000
70Ah,2019,Infiniti,QX50,18346,12125,Y,70000
70Ah,2021,Infiniti,QX50,16725,15625,Y,70000
70Ah,2017,Infiniti,QX50,22136,9250,Y,70000
70Ah,2017,Infiniti,QX50,21862,9000,Y,70000
70Ah,2017,Infiniti,QX50,19857,9250,Y,70000
70Ah,2017,Infiniti,QX50,20394,9250,Y,70000
70Ah,2017,Infiniti,QX50,21835,8625,Y,70000
70Ah,2017,Infiniti,QX50,21862,8875,Y,70000
70Ah,2019,Infiniti,QX50,9145,,Y,70000
70Ah,2020,Infiniti,QX50,7193,14375,Y,70000
70Ah,2021,Infiniti,QX50,6198,15750,Y,70000
70Ah,2021,Infiniti,QX50,6914,15625,Y,70000
70Ah,2021,Infiniti,QX50,16832,15500,Y,70000
70Ah,2021,Infiniti,QX50,16295,15250,Y,70000
70Ah,2019,Infiniti,QX50,84000,32000,Y,70000
70Ah,2018,Infiniti,QX50,120000,34500,Y,70000
70Ah,2019,Infiniti,QX50,41915,26250,Y,70000
70Ah,2023,Infiniti,QX50,31702,35000,Y,70000
70Ah,2022,Infiniti,QX50,41622,30000,Y,70000
70Ah,2020,Infiniti,QX50,60988,23750,Y,70000
70Ah,2021,Infiniti,QX50,62896,27500,Y,70000
70Ah,2023,Infiniti,QX50,14082,40875,Y,70000
70Ah,2023,Infiniti,QX50,14093,38375,Y,70000
70Ah,2023,Infiniti,QX50,20146,47125,Y,70000
70Ah,2019,Infiniti,QX50,41087,19937.5,Y,70000
70Ah,2022,Infiniti,QX55,41843,15625,Y,70000
70Ah,2022,Infiniti,QX55,41843,17500,Y,70000
70Ah,2019,Infiniti,QX55,17593,11500,Y,70000
70Ah,2017,Infiniti,QX55,21885,8875,Y,70000
70Ah,2022,Infiniti,QX55,41843,16875,Y,70000
70Ah,2023,Infiniti,QX55,29247,47125,Y,70000
70Ah,2022,Infiniti,QX55,3368,38750,Y,70000
70Ah,2023,Infiniti,QX55,5475,47125,Y,70000
70Ah,2023,Infiniti,QX55,5747,47125,Y,70000
70Ah,2023,Infiniti,QX55,3462,47125,Y,70000
70Ah,2023,Infiniti,QX55,8005,50875,Y,70000
70Ah,2022,Infiniti,QX55,26451,40875,Y,70000
70Ah,2022,Infiniti,QX55,24982,44625,Y,70000
70Ah,2022,Infiniti,QX55,32887,42125,Y,70000
70Ah,2019,Infiniti,QX60,80467,8125,Y,70000
70Ah,2019,Infiniti,QX60,120000,31000,Y,70000
70Ah,2017,Infiniti,QX60,48280,9375,Y,70000
70Ah,2018,Infiniti,QX60,67592,28800,Y,70000
70Ah,2018,Infiniti,QX60,61155,31800,Y,70000
70Ah,2020,Infiniti,QX60,28685,28312.5,Y,70000
70Ah,2023,Infiniti,QX60,10,,Y,70000
70Ah,2019,Infiniti,QX60,91733,26000,Y,70000
70Ah,2016,Infiniti,QX60,71000,29300,Y,70000
70Ah,2019,Infiniti,QX60,53000,8125,Y,70000
70Ah,2008,Acura,RDX,256368,10600,,32000
70Ah,2018,Acura,RDX,151809,21700,,32000
70Ah,2020,Acura,RDX,7395,15375,,32000
70Ah,2023,Acura,RDX,5913,20125,,32000
70Ah,2022,Audi,RS6,20000,,Y,70000
70Ah,2022,Audi,RS6,6900,,Y,70000
70Ah,2022,Audi,RS6,12000,,Y,70000
70Ah,2022,Audi,RS6,13700,,Y,70000
70Ah,2022,Audi,RS6,20000,,Y,70000
70Ah,2023,Audi,RS6,1200,,Y,70000
70Ah,2022,Audi,RS6,14800,,Y,70000
70Ah,2022,Audi,RS6,8750,,Y,70000
70Ah,2022,Audi,RS6,14320,,Y,70000
70Ah,2021,Audi,RS6,12900,,Y,70000
70Ah,2021,Audi,RS6,22500,,Y,70000
70Ah,2023,Audi,RS6,43,172500,Y,70000
70Ah,2021,Lexus,RX 350 F Sport,5000,68800,Y,70000
70Ah,2020,Lexus,RX 350 F Sport,44000,56000,Y,70000
70Ah,2022,Lexus,RX 350 F Sport,30000,80000,Y,70000
70Ah,2021,Lexus,RX 350 F Sport,7140,76500,Y,70000
70Ah,2019,Lexus,RX 350 F Sport,112000,46500,Y,70000
70Ah,2019,Lexus,RX 350 F Sport,8000,58000,Y,70000
70Ah,2023,Lexus,RX 350 F Sport,40,104700,Y,70000
70Ah,2021,Lexus,RX 350 F Sport,43000,70000,Y,70000
70Ah,2018,Toyota,Rav 4,71000,33000,,32000
70Ah,2021,Toyota,Rav 4,7242,41700,,32000
70Ah,2018,Toyota,Rav 4,49729,30800,,32000
70Ah,2013,Toyota,Rav 4,114000,19500,,32000
70Ah,2007,Toyota,Rav 4,160000,13000,,32000
70Ah,2010,Toyota,Rav 4,157000,14500,,32000
70Ah,2021,Toyota,Rav 4,19312,41500,,32000
70Ah,2017,Toyota,Rav 4,93342,9750,,32000
70Ah,2020,Toyota,Rav 4,49890,26000,,32000
70Ah,2020,Toyota,Rav 4,91733,29000,,32000
70Ah,2022,Toyota,Rav 4,2124,33000,,32000
70Ah,2021,Toyota,Rav 4,53108,11875,,32000
70Ah,2018,Toyota,Rav 4,140009,20500,,32000
70Ah,2021,Toyota,Rav 4,9300,27500,,32000
70Ah,2014,Toyota,Rav 4,86000,18300,,32000
70Ah,2021,Toyota,Rav 4,90123,33500,,32000
70Ah,2017,Toyota,Rav 4,83000,21500,,32000
70Ah,2018,Toyota,Rav 4,25000,12800,,32000
70Ah,2021,Toyota,Rav 4,30000,24000,,32000
70Ah,2019,Toyota,Rav 4,90123,25000,,32000
70Ah,2020,Toyota,Rav 4,59000,29000,,32000
70Ah,2017,Toyota,Rav 4,130000,25700,,32000
70Ah,2017,Toyota,Rav 4,70000,21200,,32000
70Ah,2019,Toyota,Rav 4,80000,32000,,32000
70Ah,2022,Toyota,Rav 4,30000,37300,,32000
70Ah,2016,Toyota,Rav 4,45000,23000,,32000
70Ah,2021,Toyota,Rav 4,38000,34500,,32000
70Ah,2021,Toyota,Rav 4,10000,35800,,32000
70Ah,2020,Toyota,Rav 4,62764,14375,,32000
70Ah,2018,Toyota,Rav 4,72420,8125,,32000
70Ah,2019,Toyota,Rav 4,43452,29500,,32000
70Ah,2019,Toyota,Rav 4,64374,28500,,32000
70Ah,2020,Toyota,Rav 4,12875,35000,,32000
70Ah,2018,Toyota,Rav 4,69916,23500,,32000
70Ah,2019,Toyota,Rav 4,112000,31000,,32000
70Ah,2021,Toyota,Rav 4,24000,35000,,32000
70Ah,2017,Toyota,Rav 4,142987,18625,,32000
70Ah,2018,Toyota,Rav 4,62206,18250,,32000
70Ah,2017,Toyota,Rav 4,67271,23000,,32000
70Ah,2019,Toyota,Rav 4,25000,29500,,32000
70Ah,2017,Toyota,Rav 4,19736,6125,,32000
70Ah,2016,Toyota,Rav 4,22792,5000,,32000
70Ah,2021,Toyota,Rav 4,16732,9625,,32000
70Ah,2019,Toyota,Rav 4,17439,7125,,32000
70Ah,2019,Toyota,Rav 4,48000,29000,,32000
70Ah,2019,Toyota,Rav 4,18246,7000,,32000
70Ah,2017,Toyota,Rav 4,178769,18750,,32000
70Ah,2018,Toyota,Rav 4,45458,19375,,32000
70Ah,2019,Toyota,Rav 4,20300,10000,,32000
70Ah,2018,Toyota,Rav 4,20000,9375,,32000
70Ah,2019,Toyota,Rav 4,18247,8875,,32000
70Ah,2019,Toyota,Rav 4,18254,9250,,32000
70Ah,2019,Toyota,Rav 4,20314,9250,,32000
70Ah,2019,Toyota,Rav 4,18347,8875,,32000
70Ah,2020,Toyota,Rav 4,18297,10875,,32000
70Ah,2017,Toyota,Rav 4,21825,6000,,32000
70Ah,2017,Toyota,Rav 4,21357,8125,,32000
70Ah,2018,Toyota,Rav 4,18547,8250,,32000
70Ah,2019,Toyota,Rav 4,18647,9125,,32000
70Ah,2017,Toyota,Rav 4,21832,7750,,32000
70Ah,2019,Toyota,Rav 4,18364,9125,,32000
70Ah,2021,Toyota,Rav 4,16824,11875,,32000
70Ah,2018,Toyota,Rav 4,18674,8375,,32000
70Ah,2020,Toyota,Rav 4,18347,10875,,32000
70Ah,2018,Toyota,Rav 4,18547,8125,,32000
70Ah,2017,Toyota,Rav 4,22715,7875,,32000
70Ah,2018,Toyota,Rav 4,18352,8500,,32000
70Ah,2018,Toyota,Rav 4,18347,8125,,32000
70Ah,2021,Toyota,Rav 4,18347,11500,,32000
70Ah,2019,Toyota,Rav 4,18395,9625,,32000
70Ah,2018,Toyota,Rav 4,19245,8250,,32000
70Ah,2018,Toyota,Rav 4,18325,8500,,32000
70Ah,2019,Toyota,Rav 4,18347,8875,,32000
70Ah,2017,Toyota,Rav 4,21735,7750,,32000
70Ah,2017,Toyota,Rav 4,21933,7875,,32000
70Ah,2020,Toyota,Rav 4,18247,10625,,32000
70Ah,2021,Toyota,Rav 4,16374,11500,,32000
70Ah,2017,Toyota,Rav 4,21736,7625,,32000
70Ah,2017,Toyota,Rav 4,21934,8000,,32000
70Ah,2018,Toyota,Rav 4,18347,8125,,32000
70Ah,2018,Toyota,Rav 4,18343,9625,,32000
70Ah,2019,Toyota,Rav 4,18347,9125,,32000
70Ah,2020,Toyota,Rav 4,18347,10625,,32000
70Ah,2018,Toyota,Rav 4,60000,29500,,32000
70Ah,2019,Toyota,Rav 4,15587,9375,,32000
70Ah,2022,Toyota,Rav 4,6038,21250,,32000
70Ah,2017,Toyota,Rav 4,70000,22500,,32000
