link,title,district,description,price
https://www.list.am/item/20505573,"Աջափնյակ, 3 սեն., 70 ք.մ., 1/5 հարկ",Աջափնյակ,"3 սենյականոց բնակարան Լենինգրադյան փողոցում, 70 ք.մ., բարձր առաստաղներ, 1/5 հարկ",95000
https://www.list.am/item/19656811,"Աջափնյակ, 3 սեն., 79 ք.մ., 17/17 հարկ",Աջափնյակ,"3 սենյականոց բնակարան նորակառույց շենքում Մոնթե Մելքոնյան փողոցում, 79 ք.մ., բարձր առաստաղներ",148000
https://www.list.am/item/19786341,"Աջափնյակ, 3 սեն., 80 ք.մ., 4/16 հարկ",Աջափնյակ,"3 սենյականոց բնակարան Մելքումովի փողոցում, 80 ք.մ., 4/16 հարկ, 2 սանհանգույց, կապիտալ վերանորոգված",92000
https://www.list.am/item/16746225,"Աջափնյակ, 2 սեն., 70 ք.մ., 6/7 հարկ",Աջափնյակ,"2 սենյականոց բնակարան նորակառույց շենքում, Նորաշեն թաղամաս, 70 ք.մ., նախավերջին հարկ",105000
https://www.list.am/item/20790569,"Աջափնյակ, 2 սեն., 77 ք.մ., 12/14 հարկ",Աջափնյակ,"2 սենյականոց բնակարան Բաշինջաղյան փողոցում, 77 ք.մ., 12/14 հարկ, կապիտալ վերանորոգված",90000
https://www.list.am/item/20692794,"Աջափնյակ, 2 սեն., 77 ք.մ., 10/14 հարկ",Աջափնյակ,"2 սենյականոց բնակարան Շիրազի փողոցում, 77 ք.մ., 10/14 հարկ, մի քանի պատշգամբ, կապիտալ վերանորոգված",87000
https://www.list.am/item/20515490,"Աջափնյակ, 4 սեն., 70 ք.մ., 7/9 հարկ",Աջափնյակ,"4 սենյականոց բնակարան Շիրազի փողոցում, 70 ք.մ., 7/9 հարկ, կապիտալ վերանորոգված",101000
https://www.list.am/item/19257401,"Աջափնյակ, 3 սեն., 78 ք.մ., 1/9 հարկ",Աջափնյակ,"3 սենյականոց բնակարան Արզումանյան փողոցում, 78 ք.մ., 1/9 հարկ, կապիտալ վերանորոգված",160000
https://www.list.am/item/20492474,"Աջափնյակ, 2 սեն., 70 ք.մ., 4/5 հարկ",Աջափնյակ,"2 սենյականոց բնակարան Մարգարյան փողոցում, 70 ք.մ., նախավերջին հարկ, կապիտալ վերանորոգված, քարե շենք",95000
https://www.list.am/item/20812233,"Աջափնյակ, 2 սեն., 77 ք.մ., 10/14 հարկ",Աջափնյակ,"2 սենյականոց բնակարան Շիրազի փողոցում, 77 ք.մ., 10/14 հարկ, մի քանի պատշգամբ, կապիտալ վերանորոգված",90000
